date,is_simulator,mission_type,aircraft_type,custom_aircraft_type,tail_number,origin,destinations,copilot_name,hour_breakdown,total_flight_hours,pilot_role,is_pic,remarks,organization_id,id,created_date,updated_date,created_by_id,is_sample
"2022-08-20","","Training","AH-64E","","1403018","","[]","","[{""mode"":""D"",""duration"":1.2,""seat_position"":""B""}]","1.2","PI","","","","688037150a1b90a4f5358562","2025-07-23T01:12:53.310000","2025-07-23T18:42:25.097000","687810a9294a03ec0724d15f",""
"2023-04-18","","Training","AH-64E","","1903301","KAEX","[""19LA""]","","[{""mode"":""N"",""duration"":0.6,""seat_position"":""F""}]","0.6","PI","","","","688037277d902dc72713d8ed","2025-07-23T01:13:11.313000","2025-07-23T18:42:11.027000","687810a9294a03ec0724d15f",""
"2023-04-18","","Training","AH-64E","","1903301","KAEX","[""19LA""]","","[{""mode"":""NS"",""duration"":1,""seat_position"":""F""}]","1","PI","","","","68803729ba78cdef4c05bbc6","2025-07-23T01:13:13.309000","2025-07-23T18:42:09.803000","687810a9294a03ec0724d15f",""
"2023-06-27","","Training","AH-64E","","2003304","LOCAL","[""LOCAL""]","","[{""mode"":""D"",""duration"":2.7,""seat_position"":""F""}]","2.7","PI","","","","6880372d855a5821a28291ad","2025-07-23T01:13:17.307000","2025-07-23T18:42:06.250000","687810a9294a03ec0724d15f",""
"2023-11-13","","Training","AH-64E","","2003307","ORER","[""ORER""]","","[{""mode"":""NG"",""duration"":1,""seat_position"":""F""}]","1","PI","","","","6880373afdd5d479abadfe93","2025-07-23T01:13:30.314000","2025-07-23T18:41:52.162000","687810a9294a03ec0724d15f",""
"2023-12-06","","Training","AH-64E","","1803226","LOCAL","[""LOCAL""]","","[{""mode"":""H"",""duration"":0.5,""seat_position"":""F""}]","0.5","PI","","","","68803740f8083c28a03cad75","2025-07-23T01:13:36.320000","2025-07-23T18:41:50.296000","687810a9294a03ec0724d15f",""
"2023-07-12","true","Training","AH-64E","","","","[]","","[{""mode"":""NS"",""duration"":1,""seat_position"":""B""}]","1","PI","","","","688036b67d902dc72713d6d8","2025-07-23T01:11:18.600000","2025-07-23T18:42:03.839000","687810a9294a03ec0724d15f",""
"2022-04-22","","Training","AH-64E","","1401007","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036d2452bb6ea3d72de9a","2025-07-23T01:11:46.302000","2025-07-23T18:43:05.715000","687810a9294a03ec0724d15f",""
"2024-01-17","","Training","AH-64E","","1803226","EAB","[""EAB""]","","[{""mode"":""D"",""duration"":5,""seat_position"":""F""}]","5","PI","","","","68803755c950a087a8a8f38a","2025-07-23T01:13:57.296000","2025-07-23T18:41:36.327000","687810a9294a03ec0724d15f",""
"2022-08-09","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","6880370cd37c09892fe103d1","2025-07-23T01:12:44.307000","2025-07-23T18:42:30.370000","687810a9294a03ec0724d15f",""
"2022-09-07","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","6880371ed37c09892fe1046e","2025-07-23T01:13:02.354000","2025-07-23T18:42:17.414000","687810a9294a03ec0724d15f",""
"2023-05-01","","Training","AH-64E","","1903261","LOCAL","[""LOCAL""]","","[{""mode"":""D"",""duration"":0.4,""seat_position"":""F""}]","0.4","PI","","","","6880372bf8083c28a03cacef","2025-07-23T01:13:15.309000","2025-07-23T18:42:08.604000","687810a9294a03ec0724d15f",""
"2023-11-05","","Training","AH-64E","","1803244","LOCAL","[""LOCAL""]","","[{""mode"":""D"",""duration"":0.5,""seat_position"":""F""}]","0.5","PI","","","","68803737e7b29dd455abe949","2025-07-23T01:13:27.804000","2025-07-23T18:41:55.701000","687810a9294a03ec0724d15f",""
"2023-12-06","","Training","AH-64E","","1803226","LOCAL","[""LOCAL""]","","[{""mode"":""NG"",""duration"":0.6,""seat_position"":""F""}]","0.6","PI","","","","6880373ec8518fed100db724","2025-07-23T01:13:34.367000","2025-07-23T18:41:50.910000","687810a9294a03ec0724d15f",""
"2023-12-27","","Training","AH-64E","","1803218","ORER","[""ORER""]","","[{""mode"":""D"",""duration"":2.9,""seat_position"":""F""}]","2.9","PI","","","","688037446ee141a671c381fa","2025-07-23T01:13:40.310000","2025-07-23T18:41:48.004000","687810a9294a03ec0724d15f",""
"2024-01-05","","Training","AH-64E","","1803230","ORER","[""ORER""]","","[{""mode"":""D"",""duration"":2,""seat_position"":""F""}]","2","PI","","","","68803746fdd5d479abadfead","2025-07-23T01:13:42.331000","2025-07-23T18:41:46.858000","687810a9294a03ec0724d15f",""
